transaction_id,transaction_date,posting_date,currency,amount,transaction_type,category,sub_category,counterparty,payment_method,department,cost_center,transaction_status, invoice_id,due_date,settlement_date,expense
1097,11-09-2024,15-10-2024,PKR,0,Expense,Operations,Rent,Centizu,UPI,Product Management,CC-073 ,Pending,INV-84417,26-09-2024,19-05-2024,38418.61
1098,31-03-2023,26-02-2023,JPY,138563.25,Income,Technology,Logistics,Meevee,Bank Transfer,Engineering,CC-897 ,Reversed,INV-72286,12-09-2023,22-12-2023,0
1099,18-02-2023,27-05-2023,VEF,27698.28,Expense,Payroll,Cloud Services,Muxo,Credit Card,Legal,CC-641 ,Posted,INV-65012,11-04-2024,17-01-2024,0
1100,27-07-2024,30-12-2024,CLP,177268.18,Income,Marketing,Cloud Services,Eabox,Debit Card,Marketing,CC-233 ,Posted,INV-22127,29-06-2024,17-11-2024,0
1101,01-11-2023,23-07-2024,IDR,186089.15,Transfer,Payroll,Advertising,Ainyx,UPI,Accounting,CC-109 ,Posted,INV-48110,18-03-2024,21-01-2024,0
1102,31-05-2024,21-11-2024,NGN,47812.73,Transfer,Technology,Logistics,Bubblebox,Bank Transfer,Services,CC-848 ,Posted,INV-44260,13-06-2023,24-09-2024,0
1103,09-09-2024,31-05-2024,EUR,1596.52,Transfer,Payroll,Logistics,Jetwire,Bank Transfer,Accounting,CC-163 ,Failed,INV-82794,09-10-2023,26-10-2023,0
1104,12-06-2023,06-04-2023,UAH,184934.55,Expense,Marketing,Salaries,Zooveo,Cash,Accounting,CC-847 ,Failed,INV-89883,10-09-2023,21-01-2025,0
1105,27-06-2023,01-04-2024,CNY,0,Expense,Operations,Advertising,Demimbu,Credit Card,Human Resources,CC-422 ,Posted,INV-65803,01-11-2025,17-03-2025,48598.02
1106,24-07-2023,,CNY,107970.1,Expense,Technology,Logistics,Skippad,Credit Card,Training,CC-030 ,Pending,INV-81987,04-03-2024,30-04-2024,0
1107,18-05-2024,19-06-2024,EUR,193533.96,Expense,Administration,Cloud Services,Zoomdog,Debit Card,Sales,CC-539 ,Posted,INV-44234,28-02-2025,03-12-2024,0
1108,31-08-2023,17-10-2023,CNY,180735.47,Expense,Marketing,Salaries,Lajo,Bank Transfer,Legal,CC-556 ,Pending,INV-45204,12-06-2024,27-12-2023,0
1109,30-12-2023,24-11-2024,COP,100800.91,Income,Sales,Logistics,Photobean,Debit Card,Marketing,CC-424 ,Reversed,INV-49215,31-07-2023,31-01-2024,0
1110,28-12-2023,21-03-2024,CNY,12356.73,Expense,Operations,Salaries,Linktype,Debit Card,Accounting,CC-202 ,Pending,INV-37908,08-06-2024,04-07-2023,0
1111,09-07-2023,29-01-2023,EUR,0,Transfer,Administration,Salaries,Rhycero,UPI,Research and Development,CC-230 ,Failed,INV-68451,14-03-2025,28-02-2025,7532.62
1112,01-06-2024,03-07-2023,CNY,5697.73,Income,Administration,Rent,Voolia,Credit Card,Support,CC-273 ,Reversed,INV-40050,29-05-2024,05-01-2025,0
1113,26-07-2023,11-02-2024,ZAR,0,Income,Marketing,Advertising,Zoovu,Cash,Services,CC-579 ,Pending,INV-47325,04-07-2023,13-07-2024,3566.65
1114,23-08-2024,11-07-2024,JPY,153677.46,Income,Payroll,Salaries,Kazu,Cash,Legal,CC-473 ,Reversed,INV-40043,21-12-2024,29-05-2023,0
1115,30-06-2023,01-06-2024,CNY,0,Income,Marketing,Advertising,Wikido,Cash,Accounting,CC-299 ,Pending,INV-05790,05-09-2023,24-11-2024,43208.62
1116,09-12-2023,18-04-2023,MNT,82832.31,Transfer,Sales,Software Subscriptions,Photojam,Cash,Research and Development,CC-979 ,Pending,INV-91470,01-10-2023,13-07-2023,0
1117,07-09-2023,13-08-2023,CNY,123392.05,Transfer,Sales,Salaries,Brightdog,Cash,Sales,CC-586 ,Reversed,INV-54600,15-04-2024,23-01-2023,0
1118,20-09-2024,01-11-2023,PHP,0,Transfer,Operations,Software Subscriptions,Realbuzz,Debit Card,Marketing,CC-706 ,Posted,INV-65404,14-07-2023,09-02-2025,40738.32
1119,06-07-2023,03-04-2024,CNY,34594.23,Income,Technology,Salaries,Abata,Cash,Legal,CC-489 ,Reversed,INV-14225,18-12-2023,01-02-2024,0
1120,20-02-2024,25-01-2024,PEN,29623.83,Income,Administration,Software Subscriptions,Thoughtblab,Bank Transfer,Human Resources,CC-551 ,Failed,INV-13946,01-09-2024,17-02-2023,0
1121,15-10-2024,12-03-2023,KZT,133868.35,Income,Sales,Rent,Skyble,Bank Transfer,Business Development,CC-296 ,Posted,INV-26057,01-04-2025,22-01-2025,0
1122,26-11-2024,25-08-2024,CNY,0,Income,Sales,Salaries,Shufflebeat,Cash,Research and Development,CC-084 ,Failed,INV-59568,20-03-2023,22-07-2024,34452.49
1123,02-06-2024,16-04-2024,ILS,61571.02,Transfer,Technology,Cloud Services,Meevee,Bank Transfer,Product Management,CC-850 ,Posted,INV-50492,13-09-2023,13-05-2024,0
1124,27-04-2024,01-12-2024,ETB,46178.27,Transfer,Operations,Salaries,Blogspan,Bank Transfer,Human Resources,CC-647 ,Failed,INV-38254,24-11-2023,29-08-2024,0
1125,25-03-2024,20-08-2023,USD,154396.33,Transfer,Administration,Salaries,Devpulse,UPI,Human Resources,CC-429 ,Failed,INV-03208,04-04-2023,27-12-2024,0
1126,25-08-2024,10-02-2024,PEN,192724.07,Income,Technology,Salaries,Zoozzy,Debit Card,Legal,CC-747 ,Posted,INV-29093,28-02-2025,17-03-2024,0
1127,04-12-2024,14-05-2024,USD,46535.39,Expense,Operations,Software Subscriptions,Roombo,Credit Card,Training,CC-481 ,Failed,INV-79334,06-08-2024,30-09-2023,0
1128,12-06-2023,21-09-2023,VND,156234.8,Transfer,Payroll,Salaries,Youopia,Debit Card,Product Management,CC-678 ,Failed,INV-20482,24-02-2024,25-03-2023,0
1129,02-02-2023,07-09-2023,RUB,148421.93,Transfer,Payroll,Software Subscriptions,Jabbertype,Bank Transfer,Sales,CC-485 ,Pending,INV-55237,20-10-2023,19-04-2024,0
1130,09-12-2023,12-11-2024,IDR,114352.92,Expense,Administration,Advertising,Kimia,Bank Transfer,Research and Development,CC-430 ,Failed,INV-20793,15-10-2024,16-07-2023,0
1131,10-02-2023,20-01-2024,XAF,0,Income,Technology,Salaries,Realcube,Debit Card,Legal,CC-312 ,Posted,INV-15036,28-03-2025,08-12-2024,32615.4
1132,18-02-2023,,MDL,0,Transfer,Technology,Rent,Avavee,UPI,Legal,CC-600 ,Reversed,INV-87427,07-03-2023,28-04-2024,37502.12
1133,08-09-2024,13-07-2024,CNY,0,Income,Sales,Logistics,Yata,UPI,Business Development,CC-824 ,Posted,INV-80806,29-04-2023,22-07-2024,42599.44
1134,24-12-2023,16-05-2023,ILS,0,Expense,Marketing,Software Subscriptions,Quimba,Cash,Accounting,CC-638 ,Reversed,INV-69983,28-11-2024,24-08-2023,8858.67
1135,09-04-2024,11-05-2024,EUR,113767.71,Expense,Administration,Software Subscriptions,LiveZ,Credit Card,Marketing,CC-100 ,Reversed,INV-88436,03-11-2024,19-04-2023,0
1136,23-09-2023,06-11-2023,CNY,46498.46,Income,Administration,Salaries,Thoughtstorm,Credit Card,Human Resources,CC-248 ,Posted,INV-43651,07-10-2024,11-04-2023,0
1137,04-02-2024,02-07-2024,CNY,184413.53,Income,Administration,Advertising,Topiczoom,Bank Transfer,Marketing,CC-201 ,Posted,INV-87021,26-01-2024,28-04-2024,0
1138,04-03-2024,,SEK,0,Income,Payroll,Cloud Services,Blognation,UPI,Sales,CC-966 ,Reversed,INV-67947,23-06-2024,26-07-2023,30995.31
1139,18-03-2024,29-02-2024,NGN,147477.91,Transfer,Technology,Salaries,Oyoloo,Cash,Training,CC-333 ,Posted,INV-49108,22-07-2023,11-06-2024,0
1140,29-11-2024,01-08-2023,EUR,39638.32,Income,Operations,Cloud Services,Demivee,Bank Transfer,Marketing,CC-946 ,Failed,INV-83435,14-06-2023,06-01-2025,0
1141,17-09-2024,18-06-2024,ARS,0,Transfer,Payroll,Cloud Services,Mymm,UPI,Sales,CC-631 ,Reversed,INV-62777,17-10-2024,03-06-2024,29600.57
1142,17-12-2024,07-03-2024,SEK,102691.16,Transfer,Marketing,Advertising,Ainyx,Cash,Sales,CC-231 ,Failed,INV-66673,23-02-2023,22-06-2023,0
1143,05-09-2024,27-10-2024,CNY,92782.69,Expense,Marketing,Advertising,Bubblemix,UPI,Research and Development,CC-230 ,Failed,INV-22681,26-03-2024,14-03-2024,0
1144,23-02-2024,23-10-2024,IDR,82101.17,Expense,Payroll,Advertising,Gigabox,UPI,Support,CC-899 ,Reversed,INV-60414,03-02-2023,22-01-2023,0
1145,12-07-2023,08-07-2024,CAD,15860.79,Income,Marketing,Advertising,Rhycero,Cash,Product Management,CC-325 ,Pending,INV-06899,05-10-2023,04-12-2024,0
1146,27-02-2023,22-10-2023,BDT,96060.02,Expense,Payroll,Logistics,Lajo,Credit Card,Services,CC-671 ,Pending,INV-30397,23-03-2023,28-04-2023,0
1147,06-04-2023,05-01-2023,UAH,0,Expense,Technology,Logistics,Trilith,UPI,Research and Development,CC-083 ,Reversed,INV-03345,06-05-2024,28-10-2023,18047.1
1148,12-04-2023,13-09-2024,IRR,196656.17,Transfer,Sales,Software Subscriptions,Fadeo,UPI,Accounting,CC-831 ,Failed,INV-30063,24-12-2023,11-02-2023,0
1149,04-04-2023,10-01-2023,USD,77974.52,Transfer,Sales,Cloud Services,Rhybox,Credit Card,Engineering,CC-327 ,Reversed,INV-12500,12-12-2023,01-05-2024,0
1150,17-09-2023,,BAM,100509.04,Income,Operations,Rent,Meedoo,Debit Card,Training,CC-884 ,Pending,INV-91637,09-07-2024,14-08-2023,0
1151,01-06-2023,12-10-2023,HRK,23042.01,Transfer,Administration,Cloud Services,Meezzy,Debit Card,Services,CC-709 ,Reversed,INV-12533,03-03-2025,18-04-2024,0
1152,07-10-2023,15-04-2024,CNY,178785.97,Transfer,Marketing,Software Subscriptions,Feednation,Debit Card,Support,CC-249 ,Posted,INV-50242,09-05-2024,12-09-2023,0
1153,14-04-2024,30-10-2023,MGA,130657.14,Income,Administration,Cloud Services,Linktype,Credit Card,Engineering,CC-813 ,Pending,INV-21538,25-04-2024,02-07-2023,0
1154,01-11-2024,11-10-2024,IDR,184824.09,Income,Marketing,Advertising,Gabcube,UPI,Research and Development,CC-611 ,Reversed,INV-90689,27-01-2025,05-10-2023,0
1155,01-02-2024,20-12-2023,EUR,130745.03,Transfer,Operations,Salaries,Jetpulse,Bank Transfer,Engineering,CC-062 ,Reversed,INV-77250,06-08-2024,13-01-2023,0
1156,23-10-2024,21-01-2023,EUR,43409.46,Income,Technology,Cloud Services,Rhycero,Cash,Marketing,CC-311 ,Posted,INV-47924,06-05-2023,13-01-2024,0
1157,05-11-2023,01-01-2024,RUB,19808.54,Income,Payroll,Software Subscriptions,Realfire,Bank Transfer,Accounting,CC-696 ,Reversed,INV-35891,12-09-2024,25-07-2024,0
1158,07-10-2024,05-05-2024,EUR,55888.75,Transfer,Technology,Logistics,Centimia,Bank Transfer,Support,CC-741 ,Pending,INV-83859,25-12-2023,31-03-2023,0
1159,06-10-2023,15-10-2023,RUB,0,Expense,Sales,Logistics,Photospace,Cash,Services,CC-638 ,Pending,INV-22567,05-09-2023,18-08-2023,26104.91
1160,25-02-2023,08-12-2023,MYR,0,Income,Payroll,Salaries,Linkbuzz,Credit Card,Legal,CC-367 ,Pending,INV-85457,20-10-2024,21-02-2023,27111.62
1161,18-04-2023,25-01-2023,EUR,51753.28,Transfer,Administration,Software Subscriptions,Gevee,Bank Transfer,Business Development,CC-041 ,Pending,INV-09269,03-08-2025,16-08-2024,0
1162,29-02-2024,23-03-2023,EUR,0,Transfer,Operations,Advertising,Yoveo,Debit Card,Training,CC-294 ,Pending,INV-09094,26-10-2024,03-10-2024,22991.01
1163,24-11-2023,,PHP,96981.48,Income,Payroll,Advertising,Bubblemix,Bank Transfer,Human Resources,CC-304 ,Failed,INV-95523,27-06-2024,30-09-2023,0
1164,05-09-2023,10-06-2024,CNY,175597.9,Income,Payroll,Salaries,Jayo,Debit Card,Support,CC-934 ,Posted,INV-85430,11-01-2024,24-02-2024,0
1165,15-10-2024,07-03-2024,CNY,6202.88,Transfer,Administration,Advertising,Topicstorm,Debit Card,Services,CC-030 ,Failed,INV-35770,22-10-2024,01-03-2024,0
1166,28-03-2024,22-11-2023,HRK,122398.12,Transfer,Technology,Logistics,Flashspan,Bank Transfer,Marketing,CC-655 ,Posted,INV-78922,20-12-2024,20-04-2024,0
1167,24-06-2023,27-02-2024,UAH,148475.92,Expense,Administration,Advertising,Skipstorm,UPI,Product Management,CC-751 ,Reversed,INV-23117,26-03-2024,28-12-2023,0
1168,28-07-2024,,CNY,67998.05,Income,Administration,Salaries,Aibox,Credit Card,Services,CC-113 ,Pending,INV-84251,10-02-2023,05-07-2023,0
1169,24-03-2023,12-12-2024,SEK,0,Income,Administration,Logistics,Skippad,Bank Transfer,Services,CC-934 ,Reversed,INV-50924,22-03-2025,04-05-2024,49033.47
1170,03-02-2023,13-10-2024,PLN,0,Expense,Operations,Salaries,Quamba,Debit Card,Research and Development,CC-750 ,Failed,INV-97241,28-12-2023,21-11-2023,25164.47
1171,03-02-2023,18-07-2023,CNY,72707.16,Transfer,Administration,Rent,Ntag,Bank Transfer,Support,CC-710 ,Posted,INV-12293,12-02-2024,02-01-2023,0
1172,23-05-2023,19-09-2024,SAR,102405.4,Transfer,Operations,Advertising,Feedbug,Credit Card,Business Development,CC-865 ,Posted,INV-18305,17-01-2025,13-08-2024,0
1173,13-07-2023,13-01-2023,RUB,90525.02,Income,Administration,Software Subscriptions,Miboo,UPI,Services,CC-484 ,Failed,INV-62151,12-06-2023,19-03-2023,0
1174,09-03-2024,01-06-2023,PLN,169029.2,Transfer,Operations,Rent,Devpulse,Debit Card,Business Development,CC-885 ,Failed,INV-76946,11-07-2024,26-03-2024,0
1175,30-03-2024,09-01-2023,NOK,135480.45,Income,Operations,Software Subscriptions,Vimbo,Bank Transfer,Training,CC-440 ,Posted,INV-39738,19-05-2023,18-02-2024,0
1176,20-01-2024,29-06-2023,PHP,199312.89,Income,Operations,Logistics,Yabox,Debit Card,Sales,CC-446 ,Pending,INV-69914,13-10-2024,23-03-2024,0
1177,16-11-2024,20-12-2023,EUR,34966.56,Income,Marketing,Cloud Services,Flashspan,UPI,Sales,CC-282 ,Posted,INV-70070,27-06-2023,08-03-2024,0
1178,20-02-2023,22-05-2024,USD,116883.56,Expense,Technology,Rent,JumpXS,UPI,Accounting,CC-888 ,Reversed,INV-27857,20-09-2023,05-10-2023,0
1179,07-05-2024,18-05-2024,IDR,60604.17,Income,Marketing,Rent,Quinu,Cash,Legal,CC-990 ,Posted,INV-84811,23-09-2023,12-09-2023,0
1180,21-12-2023,13-11-2023,MXN,0,Income,Marketing,Logistics,Riffwire,UPI,Sales,CC-962 ,Failed,INV-84493,20-03-2025,19-01-2024,42511.25
1181,14-10-2024,28-03-2024,PEN,154066.08,Expense,Sales,Logistics,Yozio,Cash,Research and Development,CC-299 ,Failed,INV-31943,10-07-2023,06-09-2024,0
1182,28-01-2024,31-07-2023,RUB,39694.56,Expense,Technology,Rent,Tanoodle,Bank Transfer,Human Resources,CC-351 ,Pending,INV-68155,25-03-2023,13-11-2024,0
1183,01-10-2023,18-02-2023,IDR,133646.87,Transfer,Operations,Salaries,Voonder,UPI,Product Management,CC-128 ,Reversed,INV-88786,08-09-2023,05-10-2024,0
1184,05-02-2023,28-10-2024,CNY,0,Income,Administration,Software Subscriptions,Jaxnation,Debit Card,Engineering,CC-793 ,Pending,INV-24313,05-10-2023,29-07-2023,14060.4
1185,08-09-2024,18-12-2024,PHP,177441.93,Income,Sales,Advertising,Zoombox,Credit Card,Sales,CC-908 ,Posted,INV-08047,10-09-2023,25-08-2024,0
1186,04-11-2024,20-01-2023,EUR,0,Transfer,Marketing,Advertising,Skaboo,UPI,Services,CC-016 ,Posted,INV-79074,31-03-2023,25-03-2023,36387.08
1187,30-12-2024,22-04-2024,UAH,135474.45,Expense,Operations,Logistics,Talane,Bank Transfer,Training,CC-733 ,Reversed,INV-88246,08-05-2023,28-05-2024,0
1188,04-01-2023,31-10-2024,UAH,131396.23,Expense,Operations,Advertising,Skyvu,Bank Transfer,Engineering,CC-472 ,Failed,INV-96927,18-09-2023,07-06-2024,0
1189,22-12-2024,20-07-2023,VND,0,Transfer,Administration,Advertising,Skidoo,Credit Card,Marketing,CC-803 ,Pending,INV-21923,13-05-2024,23-02-2023,3990.82
1190,27-10-2023,21-01-2023,CNY,180633.54,Transfer,Technology,Logistics,Voonder,Cash,Research and Development,CC-483 ,Posted,INV-95248,21-12-2024,11-02-2024,0
1191,13-04-2023,09-02-2023,KZT,154056.97,Income,Administration,Cloud Services,Twitternation,UPI,Training,CC-144 ,Posted,INV-79858,06-12-2024,13-02-2024,0
1192,19-01-2024,20-01-2024,CAD,0,Income,Marketing,Rent,Trudoo,UPI,Legal,CC-403 ,Failed,INV-31139,07-07-2023,11-02-2024,10369.06
1193,17-04-2023,25-07-2023,CNY,118683.78,Expense,Marketing,Software Subscriptions,Fanoodle,UPI,Human Resources,CC-726 ,Posted,INV-91428,02-03-2024,08-09-2024,0
1194,03-03-2024,03-02-2024,IDR,0,Income,Marketing,Advertising,Oyoyo,Bank Transfer,Training,CC-761 ,Failed,INV-93943,09-11-2024,04-05-2023,41432.16
1195,13-10-2023,31-03-2023,RUB,17321.59,Income,Payroll,Advertising,Realbridge,Credit Card,Support,CC-355 ,Failed,INV-41292,21-10-2024,01-02-2025,0
1196,09-03-2023,23-11-2024,DOP,190323.79,Transfer,Administration,Advertising,Feedmix,Debit Card,Product Management,CC-536 ,Reversed,INV-20051,15-03-2023,26-01-2023,0
1197,03-02-2023,30-01-2023,KRW,0,Expense,Sales,Rent,Yacero,Bank Transfer,Services,CC-487 ,Pending,INV-18106,27-07-2024,07-08-2024,13674.02
1198,22-01-2023,25-11-2023,CAD,109642.7,Transfer,Administration,Salaries,Skilith,Bank Transfer,Research and Development,CC-134 ,Reversed,INV-09717,26-10-2023,02-10-2024,0
1199,29-09-2024,20-10-2024,EUR,0,Expense,Marketing,Salaries,Quimba,Cash,Engineering,CC-846 ,Failed,INV-64290,24-08-2023,04-09-2024,45916.08
1200,24-04-2023,19-06-2024,USD,120405.73,Expense,Marketing,Software Subscriptions,Edgeify,UPI,Support,CC-679 ,Posted,INV-01265,17-08-2023,18-01-2025,0
1201,15-09-2023,25-01-2023,ALL,35049.81,Transfer,Marketing,Advertising,Vidoo,Bank Transfer,Research and Development,CC-530 ,Failed,INV-08880,03-02-2023,02-06-2023,0
1202,05-01-2024,20-05-2024,IRR,0,Expense,Administration,Cloud Services,Kamba,Credit Card,Engineering,CC-110 ,Reversed,INV-92522,12-11-2024,02-02-2025,11719.08
1203,21-10-2024,14-04-2023,CNY,49399.76,Income,Payroll,Advertising,Gabtype,Cash,Research and Development,CC-315 ,Posted,INV-85418,27-09-2024,02-11-2023,0
1204,08-06-2023,04-06-2023,MWK,0,Transfer,Marketing,Salaries,InnoZ,UPI,Engineering,CC-150 ,Reversed,INV-84500,23-05-2023,27-01-2023,16554.96
1205,14-04-2023,18-03-2024,CAD,64317.46,Income,Administration,Salaries,Zoomcast,UPI,Product Management,CC-713 ,Reversed,INV-09207,29-08-2024,17-01-2023,0
1206,10-05-2024,14-09-2024,MKD,82322,Expense,Technology,Advertising,Meevee,Credit Card,Services,CC-195 ,Pending,INV-64338,01-06-2025,18-06-2024,0
1207,09-03-2024,23-03-2023,CNY,0,Transfer,Payroll,Advertising,Nlounge,UPI,Sales,CC-043 ,Failed,INV-89534,04-08-2024,16-09-2024,23225.29
1208,09-04-2024,,IDR,51201.8,Expense,Technology,Rent,Kanoodle,UPI,Legal,CC-347 ,Posted,INV-60521,08-08-2023,04-05-2024,0
1209,05-09-2023,21-03-2024,MXN,84607.86,Income,Sales,Rent,Shuffledrive,UPI,Accounting,CC-912 ,Reversed,INV-65331,29-10-2023,23-06-2023,0
1210,02-10-2023,13-07-2024,RUB,62104.11,Income,Marketing,Software Subscriptions,Rooxo,Credit Card,Product Management,CC-120 ,Failed,INV-27993,23-11-2024,07-02-2023,0
1211,18-09-2024,09-07-2023,PLN,26258.4,Expense,Sales,Advertising,Edgewire,Cash,Support,CC-243 ,Pending,INV-24672,18-09-2024,28-09-2023,0
1212,10-07-2024,,CNY,96984.02,Income,Payroll,Rent,Bluejam,UPI,Marketing,CC-035 ,Failed,INV-48599,01-11-2025,25-05-2023,0
1213,23-03-2023,10-11-2023,CNY,92723.58,Transfer,Administration,Cloud Services,Blogspan,Debit Card,Training,CC-692 ,Failed,INV-04537,11-07-2023,05-09-2023,0
1214,29-10-2024,23-07-2024,EGP,47086.25,Transfer,Marketing,Cloud Services,Talane,Bank Transfer,Engineering,CC-692 ,Failed,INV-25947,23-06-2024,27-09-2023,0
1215,12-09-2024,29-11-2023,CNY,82583.77,Expense,Sales,Software Subscriptions,Skaboo,Credit Card,Training,CC-716 ,Reversed,INV-51794,07-01-2023,14-02-2025,0
1216,14-08-2024,09-02-2023,XOF,129922.1,Income,Administration,Rent,Thoughtworks,UPI,Accounting,CC-076 ,Reversed,INV-40634,02-08-2025,30-12-2023,0
1217,29-04-2023,09-09-2024,MKD,131856.86,Transfer,Sales,Salaries,Tazzy,UPI,Marketing,CC-931 ,Posted,INV-22343,31-10-2024,30-03-2023,0
1218,01-07-2023,,AZN,124901.08,Transfer,Operations,Salaries,Livetube,UPI,Product Management,CC-546 ,Posted,INV-08592,30-03-2023,21-05-2023,0
1219,16-10-2023,20-12-2024,IDR,92792.1,Income,Sales,Cloud Services,Kamba,Credit Card,Product Management,CC-015 ,Reversed,INV-24258,05-07-2023,10-01-2024,0
1220,12-01-2024,04-09-2023,RUB,6301.02,Expense,Administration,Advertising,Jetwire,Bank Transfer,Support,CC-120 ,Pending,INV-85615,02-07-2023,18-10-2024,0
1221,21-09-2024,25-08-2023,CNY,0,Income,Marketing,Advertising,Yakidoo,UPI,Product Management,CC-524 ,Reversed,INV-78002,13-02-2023,27-09-2024,5626.26
1222,06-03-2023,17-12-2023,MNT,34914.49,Transfer,Marketing,Rent,Rooxo,Bank Transfer,Marketing,CC-071 ,Reversed,INV-84005,19-05-2024,07-09-2023,0
1223,28-12-2023,23-11-2024,CNY,76222.15,Expense,Operations,Logistics,Jabbersphere,Bank Transfer,Product Management,CC-327 ,Posted,INV-02872,02-08-2025,10-08-2024,0
1224,12-01-2024,06-01-2023,IDR,151709.35,Transfer,Operations,Rent,Livefish,UPI,Training,CC-539 ,Failed,INV-95210,19-05-2024,08-12-2024,0
1225,17-06-2023,13-10-2024,PHP,0,Transfer,Sales,Software Subscriptions,Quire,Debit Card,Accounting,CC-598 ,Reversed,INV-74571,12-05-2023,09-09-2023,16545.14
1226,03-06-2024,14-06-2024,AZN,0,Transfer,Administration,Rent,Voomm,UPI,Legal,CC-962 ,Pending,INV-99969,15-08-2024,12-01-2024,45250.81
1227,10-05-2024,15-09-2023,PEN,573.72,Transfer,Payroll,Advertising,Realcube,Bank Transfer,Services,CC-637 ,Posted,INV-42244,14-12-2024,19-08-2024,0
1228,25-07-2024,30-09-2024,PHP,0,Transfer,Marketing,Cloud Services,Fivespan,Bank Transfer,Sales,CC-178 ,Reversed,INV-49170,02-03-2023,09-02-2024,19298.59
1229,26-10-2024,09-11-2023,PHP,146584.44,Expense,Technology,Logistics,Zoozzy,Cash,Support,CC-723 ,Reversed,INV-04334,21-10-2024,31-03-2023,0
1230,03-01-2024,,BDT,96996.82,Income,Sales,Cloud Services,Cogibox,UPI,Training,CC-447 ,Pending,INV-33184,29-09-2024,13-12-2023,0
1231,09-11-2023,02-05-2023,CAD,86721.83,Income,Administration,Cloud Services,Livetube,UPI,Engineering,CC-875 ,Reversed,INV-26877,27-12-2023,30-12-2023,0
1232,22-12-2024,04-08-2023,CNY,133744.31,Expense,Administration,Logistics,Bluejam,Credit Card,Training,CC-977 ,Reversed,INV-74077,21-05-2023,24-07-2023,0
1233,15-04-2023,24-02-2023,VND,154010.14,Transfer,Sales,Cloud Services,Pixope,Cash,Accounting,CC-721 ,Reversed,INV-24445,14-10-2024,25-06-2024,0
1234,23-10-2024,17-10-2024,CUP,142236.04,Transfer,Technology,Salaries,Quinu,Cash,Marketing,CC-352 ,Failed,INV-13991,20-03-2023,11-12-2024,0
1235,13-02-2023,28-09-2023,PYG,177021.29,Expense,Administration,Advertising,Bubblemix,Credit Card,Support,CC-597 ,Posted,INV-32525,25-10-2023,20-09-2024,0
1236,05-05-2023,16-10-2024,BAM,0,Expense,Technology,Salaries,Edgewire,Bank Transfer,Human Resources,CC-282 ,Failed,INV-26799,22-06-2023,09-03-2023,17113.3
1237,07-11-2024,22-01-2024,IDR,152567.88,Transfer,Technology,Software Subscriptions,Centizu,Credit Card,Research and Development,CC-179 ,Reversed,INV-30892,26-01-2025,20-02-2025,0
1238,27-02-2024,06-12-2023,UAH,15005.59,Income,Technology,Cloud Services,Edgetag,Debit Card,Legal,CC-320 ,Failed,INV-88301,26-10-2024,04-04-2024,0
1239,09-06-2023,07-11-2024,CNY,51330.99,Transfer,Payroll,Salaries,Browsebug,UPI,Research and Development,CC-085 ,Posted,INV-16739,04-03-2023,15-01-2025,0
1240,09-06-2024,21-10-2023,CNY,113806.58,Transfer,Administration,Software Subscriptions,JumpXS,Debit Card,Business Development,CC-762 ,Posted,INV-50013,16-06-2024,25-03-2025,0
1241,14-07-2023,03-08-2023,SLL,16353.6,Transfer,Payroll,Salaries,Meetz,Bank Transfer,Human Resources,CC-888 ,Posted,INV-69589,23-10-2024,20-11-2023,0
1242,22-05-2024,30-04-2023,NGN,48075.43,Expense,Sales,Rent,Mycat,Bank Transfer,Human Resources,CC-442 ,Failed,INV-82893,14-09-2023,18-06-2024,0
1243,29-09-2023,12-09-2023,GTQ,127197.77,Transfer,Operations,Cloud Services,Zoomzone,Credit Card,Support,CC-579 ,Pending,INV-57665,19-09-2023,01-09-2023,0
1244,03-02-2024,18-05-2024,SEK,0,Expense,Marketing,Salaries,Dablist,Cash,Services,CC-693 ,Reversed,INV-33318,04-01-2024,03-07-2023,27745.25
1245,10-04-2023,15-12-2024,IDR,26802.2,Expense,Operations,Software Subscriptions,Topicware,Credit Card,Sales,CC-992 ,Posted,INV-49584,17-08-2023,14-02-2024,0
1246,12-08-2023,18-02-2024,PHP,15334.41,Transfer,Payroll,Cloud Services,Yamia,Credit Card,Sales,CC-023 ,Failed,INV-93398,29-08-2024,20-11-2024,0
1247,10-07-2023,04-03-2024,EUR,189795.3,Expense,Technology,Salaries,Jabberstorm,UPI,Sales,CC-445 ,Posted,INV-40542,31-07-2024,02-03-2024,0
1248,24-05-2024,10-06-2023,CNY,0,Expense,Technology,Logistics,Katz,UPI,Business Development,CC-013 ,Pending,INV-88732,21-02-2024,01-12-2023,18597.69
1249,21-11-2024,24-06-2024,TJS,21198.11,Transfer,Administration,Software Subscriptions,Ooba,Bank Transfer,Marketing,CC-911 ,Pending,INV-42346,03-03-2025,27-09-2024,0
1250,15-07-2023,09-05-2023,SEK,23266.03,Transfer,Technology,Cloud Services,Wordpedia,Debit Card,Human Resources,CC-949 ,Failed,INV-38066,26-02-2023,13-02-2024,0
1251,17-12-2024,21-04-2023,RUB,0,Transfer,Marketing,Advertising,Oyonder,Bank Transfer,Human Resources,CC-871 ,Failed,INV-17148,01-05-2025,24-06-2023,44927.64
1252,04-03-2024,09-05-2024,SEK,31760.46,Transfer,Payroll,Software Subscriptions,Nlounge,Bank Transfer,Sales,CC-865 ,Posted,INV-00290,01-06-2025,27-01-2025,0
